Player,Team,(Bye),K,Overall,ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,FG (Projected),FGA (Projected),XPT (Projected),FPTS (Projected)
Brandon Aubrey,DAL,10,1,188.0,2.0,1.0,1.0,1.0,1.0,1.4,33.5,37.3,41.2,141.6
Cameron Dicker,LAC,12,2,197.0,4.0,2.0,2.0,2.0,2.0,2.6,31.2,34.3,37.6,131.2
Jake Bates,DET,8,3,206.0,1.0,3.0,4.0,4.0,3.0,3.0,26.9,30.3,48.4,129.0
Chase McLaughlin,TB,9,4,229.0,3.0,13.0,6.0,9.0,5.0,6.0,30.1,32.9,46.1,136.4
Chris Boswell,PIT,5,5,242.0,6.0,4.0,14.0,8.0,8.0,6.2,30.2,33.7,35.4,126.0
Ka'imi Fairbairn,HOU,6,6,211.0,13.0,5.0,13.0,3.0,4.0,6.4,31.0,34.7,36.5,129.4
Harrison Butker,KC,10,7,218.0,8.0,7.0,9.0,6.0,7.0,8.4,28.7,33.3,42.3,128.3
Jason Sanders,MIA,12,8,253.0,7.0,21.0,5.0,13.0,10.0,8.6,31.0,35.0,40.3,133.4
Jake Elliott,PHI,9,9,247.0,5.0,14.0,7.0,11.0,9.0,8.6,29.3,34.2,46.2,134.1
Tyler Bass,BUF,7,10,232.0,9.0,19.0,8.0,5.0,12.0,9.8,27.0,32.5,51.1,132.2
Wil Lutz,DEN,12,11,254.0,18.0,8.0,15.0,15.0,6.0,11.2,28.4,32.3,39.6,124.7
Evan McPherson,CIN,10,12,239.0,15.0,11.0,11.0,7.0,15.0,13.4,27.4,33.6,47.2,129.5
Younghoe Koo,ATL,5,13,287.0,16.0,12.0,10.0,10.0,17.0,13.8,28.0,34.4,42.2,126.2
Cam Little,JAC,8,14,290.0,10.0,6.0,17.0,,13.0,14.8,27.3,30.7,36.3,118.4
Tyler Loop,BAL,7,15,276.0,11.0,17.0,,12.0,16.0,15.4,27.4,32.5,47.5,129.6
Matt Gay,WAS,12,16,293.0,12.0,20.0,3.0,,14.0,16.2,29.9,35.3,47.3,137.1
Brandon McManus,GB,5,17,274.0,17.0,10.0,12.0,,11.0,16.4,27.7,32.3,44.3,127.3
Daniel Carlson,LV,8,18,319.0,21.0,18.0,,14.0,19.0,16.8,29.6,34.1,32.6,121.3
Will Reichard,MIN,6,19,332.0,20.0,15.0,16.0,,20.0,18.2,28.0,33.4,40.5,124.5
Joshua Karty,LAR,8,20,333.0,26.0,16.0,,,21.0,19.8,28.7,33.6,38.6,124.6
Jake Moody,SF,14,21,336.0,22.0,9.0,18.0,,22.0,20.2,27.7,34.7,40.3,123.5
Cairo Santos,CHI,5,22,313.0,14.0,,,,18.0,20.3,26.3,30.7,36.9,116.0
Jason Myers,SEA,8,23,,24.0,,,,,18.3,27.4,31.1,34.1,116.2
Chad Ryland,ARI,8,24,347.0,35.0,,,,23.0,27.3,28.1,33.3,38.9,123.1
Andy Borregales,NE,14,26,,27.0,,,,,26.0,24.5,29.1,31.6,105.1
Graham Gano,NYG,14,27,,23.0,,,,,26.7,24.3,28.8,30.5,103.5
Blake Grupe,NO,11,28,,31.0,,,,,27.7,26.8,31.5,31.0,111.5
Dustin Hopkins,CLE,9,29,,28.0,,,,,30.3,22.9,29.2,24.6,93.2
Joey Slye,TEN,10,30,,36.0,,,,,31.7,25.8,31.8,31.8,109.3
Matthew Wright,CAR,14,31,,40.0,,,,,32.0,15.3,17.7,19.5,65.5
Spencer Shrader,IND,11,32,,38.0,,,,,33.0,26.1,31.1,35.5,113.9
Caden Davis,BUF,7,33,,32.0,,,,,37.3,0.0,0.0,0.0,0.0
Harrison Mevis,NYJ,9,34,,25.0,,,,,31.5,0.0,0.0,0.0,0.0
Nick Folk,NYJ,9,35,,29.0,,,,,32.0,26.2,29.5,33.1,111.8
Ryan Fitzgerald,CAR,14,36,,30.0,,,,,32.0,27.6,33.2,32.8,115.5
Jude McAtamney,NYG,14,38,,34.0,,,,,38.7,0.0,0.0,0.0,0.0
Parker Romo,NE,14,40,,37.0,,,,,35.0,0.0,0.0,0.0,0.0
