"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","George Kittle (SF)","15","5","74","39","51","35","12","0","6","5","0","1","3","1","1","0","0"
"2","Brock Bowers (LV)","17","7","70","35","55","35","10","0","9","7","0","1","3","1","0","0","0"
"3","Trey McBride (ARI)","16","7","72","40","56","32","10","0","9","7","0","1","3","1","0","0","0"
"4","Jonnu Smith (PIT)","17","5","52","22","32","30","8","0","7","6","0","1","3","0","0","0","0"
"5","Mark Andrews (BAL)","17","3","40","29","43","11","5","0","4","3","0","1","2","0","0","0","0"
"6","Sam LaPorta (DET)","16","4","45","24","36","21","7","0","5","4","0","1","2","1","0","0","0"
"7","Tucker Kraft (GB)","17","3","42","15","22","27","12","1","4","3","0","1","2","1","0","0","0"
"8","Zach Ertz (WAS)","17","4","38","27","39","11","4","0","5","4","0","1","2","0","0","0","0"
"9","Pat Freiermuth (PIT)","17","4","38","22","28","16","6","0","5","4","0","1","1","0","0","0","0"
"10","Travis Kelce (KC)","16","6","51","30","54","21","6","0","8","6","0","2","2","1","0","0","0"
"11","David Njoku (CLE)","11","6","46","23","47","23","6","0","9","6","1","1","2","0","0","0","0"
"12","Kyle Pitts Sr. (ATL)","17","3","35","19","37","16","7","0","4","3","0","1","1","0","0","0","0"
"13","Isaiah Likely (BAL)","16","3","30","14","29","16","5","0","4","3","0","1","1","0","0","0","0"
"14","Cade Otton (TB)","14","4","43","21","34","22","10","0","6","5","1","1","2","1","0","0","0"
"15","Taysom Hill (NO)","8","3","23","6","14","17","7","0","4","3","0","0","1","0","0","0","0"
"16","Hunter Henry (NE)","16","4","42","25","43","17","6","0","6","4","0","1","2","0","0","0","0"
"17","Mike Gesicki (CIN)","17","4","39","25","36","14","3","0","5","4","0","1","2","0","0","0","0"
"18","Cole Kmet (CHI)","17","3","28","17","23","11","3","0","3","3","0","0","1","0","0","0","0"
"19","Noah Gray (KC)","17","2","26","13","18","12","2","0","3","2","0","0","1","0","0","0","0"
"20","Juwan Johnson (NO)","17","3","32","20","32","12","3","0","4","3","0","0","2","0","0","0","0"
"21","Foster Moreau (NO)","17","2","24","15","23","9","3","0","3","2","0","1","1","0","0","0","0"
"22","Tyler Conklin (LAC)","16","3","28","12","22","16","5","0","5","3","0","1","1","0","0","0","0"
"23","Dalton Schultz (HOU)","17","3","31","19","41","13","4","0","5","3","0","0","1","0","0","0","0"
"24","Austin Hooper (NE)","17","3","28","15","20","13","4","0","3","3","0","0","1","0","0","0","0"
"25","Dallas Goedert (PHI)","10","4","50","26","37","27","7","0","5","4","0","1","2","1","1","0","0"
"26","Chig Okonkwo (TEN)","17","3","28","14","25","15","7","0","4","3","0","0","1","0","0","0","0"
"27","Will Dissly (LAC)","15","3","32","12","20","20","7","0","4","4","0","1","1","0","0","0","0"
