Team,(Bye),Overall,ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,SACK (Projected),INT (Projected),FR (Projected),FF (Projected),TD (Projected),SAFETY (Projected),PA (Projected),YDS AGN (Projected),FPTS (Projected)
Denver Broncos,12.0,156.0,3,2.0,2.0,2.0,1.0,2.0,52.4,12.5,11.1,15.7,2.6,0.5,341.3,5386.5,116.3
Philadelphia Eagles,9.0,157.0,6,1.0,1.0,1.0,2.0,2.2,45.7,13.5,13.3,22.5,2.7,0.0,344.3,5511.1,115.6
Baltimore Ravens,7.0,187.0,4,4.0,3.0,7.0,6.0,4.8,52.4,13.9,9.7,13.7,2.3,0.0,340.7,5348.5,113.3
Pittsburgh Steelers,5.0,170.0,1,3.0,6.0,4.0,4.0,5.0,43.8,13.8,12.1,20.1,2.5,0.0,347.4,5679.0,110.7
Minnesota Vikings,6.0,179.0,5,5.0,5.0,6.0,7.0,5.6,45.7,13.5,10.3,15.2,2.5,0.0,356.6,5300.1,108.5
Houston Texans,6.0,189.0,2,7.0,8.0,11.0,5.0,7.0,47.2,15.5,10.0,14.1,2.7,0.5,348.3,5478.1,115.3
Buffalo Bills,7.0,201.0,10,9.0,4.0,13.0,3.0,7.4,45.4,14.0,12.8,21.2,2.7,0.5,344.8,5806.7,116.3
San Francisco 49ers,14.0,198.0,14,12.0,16.0,5.0,12.0,10.0,42.9,13.5,8.9,14.1,2.3,1.0,384.2,5638.7,103.6
Kansas City Chiefs,10.0,207.0,12,6.0,10.0,12.0,8.0,10.0,45.5,12.1,9.3,13.8,2.2,0.5,347.1,5578.4,102.7
Detroit Lions,8.0,210.0,7,8.0,12.0,10.0,9.0,10.4,43.2,13.8,9.6,14.2,2.5,0.0,374.8,5784.9,104.9
Tampa Bay Buccaneers,9.0,235.0,16,11.0,,9.0,21.0,13.6,44.3,11.7,11.0,16.7,2.0,0.5,374.8,5742.5,102.9
Seattle Seahawks,8.0,248.0,8,24.0,15.0,8.0,24.0,16.0,45.0,12.9,8.6,14.2,2.0,0.5,362.2,5632.5,101.2
Green Bay Packers,5.0,240.0,17,21.0,7.0,18.0,14.0,16.2,46.1,12.5,11.7,18.4,2.2,0.5,363.0,5648.1,108.6
New York Giants,14.0,236.0,15,17.0,13.0,16.0,13.0,16.4,50.8,10.5,11.9,19.2,2.1,0.0,419.9,5850.2,108.3
Dallas Cowboys,10.0,258.0,18,18.0,11.0,22.0,11.0,16.6,51.9,12.0,10.3,16.5,2.6,0.0,397.5,5928.8,111.7
Chicago Bears,5.0,288.0,19,10.0,20.0,,16.0,17.2,40.5,13.0,10.2,17.3,2.2,0.5,386.8,5919.6,100.9
New England Patriots,14.0,275.0,9,16.0,14.0,17.0,22.0,17.8,36.1,11.5,8.2,11.7,1.6,0.0,402.3,5521.0,85.3
Los Angeles Chargers,12.0,260.0,24,,9.0,20.0,18.0,18.0,46.8,12.3,9.9,15.3,2.1,0.0,371.0,5794.9,103.5
Cincinnati Bengals,10.0,306.0,25,14.0,,,19.0,18.2,40.1,12.4,9.3,14.7,2.1,0.0,422.2,6154.1,96.2
Arizona Cardinals,8.0,286.0,20,20.0,19.0,,15.0,18.2,41.4,11.7,8.9,14.7,2.1,1.0,398.5,5807.3,97.1
Washington Commanders,12.0,209.0,21,19.0,17.0,3.0,17.0,18.2,45.9,11.1,10.3,16.0,2.1,0.5,399.2,6108.5,102.4
New York Jets,9.0,266.0,13,23.0,18.0,15.0,20.0,18.8,43.1,12.3,9.5,14.3,1.8,0.5,387.2,5399.6,98.5
Los Angeles Rams,8.0,233.0,22,22.0,21.0,21.0,10.0,20.2,44.7,12.7,8.7,14.3,2.3,0.5,375.7,5910.6,102.0
Cleveland Browns,9.0,335.0,23,25.0,,,23.0,21.0,44.9,11.1,9.2,14.4,2.2,0.0,417.7,5983.7,98.7
Miami Dolphins,12.0,289.0,32,13.0,,19.0,,22.6,40.0,11.4,8.7,13.1,2.0,0.5,392.6,5708.0,93.0
Indianapolis Colts,11.0,317.0,11,,,23.0,,22.8,41.9,12.8,9.6,15.8,2.2,1.0,407.8,5852.1,102.0
Atlanta Falcons,5.0,343.0,27,,,,25.0,23.3,39.1,11.7,8.5,14.0,1.9,0.5,412.5,6023.8,92.2
Las Vegas Raiders,8.0,318.0,28,,,24.0,,26.0,42.5,11.0,8.0,12.5,1.9,0.5,418.2,5762.8,93.1
Tennessee Titans,10.0,282.0,31,,,14.0,,26.8,39.6,10.9,8.6,13.8,1.7,0.5,421.1,5702.6,89.9
New Orleans Saints,11.0,323.0,29,,,26.0,,27.0,37.9,13.1,7.6,9.7,1.8,0.0,389.7,5855.2,90.1
Jacksonville Jaguars,8.0,321.0,30,,,25.0,,28.8,38.8,12.0,8.2,11.2,2.0,0.5,413.2,5852.0,91.9
Carolina Panthers,14.0,,26,,,,,30.0,34.7,11.2,7.8,11.4,1.7,0.0,442.1,6334.6,83.0
