Player,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Saquon Barkley,327.8,1661.7,10.8,41.9,318.2,2.2,1.4,273.2,16.0,22.0,83.0,42.0,1.0,2.0,-5.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,352.0,1328.0,672.0,16.0,32.0,-80.0,48.0,16.0,16.0,0.0,0.0,48.0,16.0
Bijan Robinson,304.4,1420.0,11.4,56.9,428.7,2.1,1.4,263.4,17.0,18.0,43.0,43.0,1.0,1.0,-4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,306.0,731.0,731.0,17.0,17.0,-68.0,34.0,0.0,0.0,0.0,0.0,68.0,0.0
Jahmyr Gibbs,239.9,1239.5,11.7,57.7,508.7,2.8,1.3,258.9,17.0,15.0,48.0,35.0,1.0,1.0,-3.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,255.0,816.0,595.0,17.0,17.0,-51.0,34.0,17.0,0.0,0.0,0.0,68.0,17.0
Derrick Henry,295.2,1508.3,13.3,16.4,153.1,0.9,1.4,248.4,17.0,19.0,59.0,54.0,2.0,2.0,-3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,323.0,1003.0,918.0,34.0,34.0,-51.0,51.0,17.0,17.0,0.0,0.0,17.0,0.0
Christian McCaffrey,233.2,1062.6,7.9,65.1,569.9,3.6,1.8,228.4,4.0,13.0,29.0,22.0,1.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,52.0,116.0,88.0,4.0,4.0,-12.0,8.0,0.0,0.0,0.0,0.0,20.0,4.0
Josh Jacobs,284.2,1211.8,11.3,38.1,316.0,1.5,1.5,226.1,17.0,18.0,35.0,43.0,2.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,306.0,595.0,731.0,34.0,34.0,-51.0,34.0,0.0,0.0,0.0,0.0,51.0,0.0
De'Von Achane,223.3,1032.9,7.8,69.5,513.7,4.1,1.3,223.1,17.0,12.0,29.0,25.0,0.0,2.0,-4.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,204.0,493.0,425.0,0.0,34.0,-68.0,17.0,0.0,0.0,0.0,0.0,85.0,17.0
Ashton Jeanty,273.0,1203.8,9.0,46.3,366.3,1.9,2.4,217.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Taylor,297.7,1359.0,9.6,25.7,194.4,1.1,1.6,216.5,14.0,22.0,61.0,41.0,1.0,2.0,-4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,308.0,854.0,574.0,14.0,28.0,-56.0,28.0,14.0,0.0,0.0,0.0,28.0,0.0
Kyren Williams,275.7,1192.4,11.2,33.6,213.7,1.7,2.3,213.1,16.0,20.0,43.0,38.0,2.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,320.0,688.0,608.0,32.0,32.0,-48.0,32.0,0.0,0.0,0.0,0.0,48.0,16.0
