Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Brock Bowers,106.0,1131.5,6.1,0.5,149.7,17.0,7.0,70.0,35.0,55.0,35.0,10.0,0.0,9.0,7.0,0.0,1.0,3.0,1.0,119.0,1190.0,595.0,935.0,595.0,170.0,0.0,153.0,119.0,0.0,17.0,51.0,17.0
George Kittle,76.0,1036.9,7.5,0.5,147.6,15.0,5.0,74.0,39.0,51.0,35.0,12.0,0.0,6.0,5.0,0.0,1.0,3.0,1.0,75.0,1110.0,585.0,765.0,525.0,180.0,0.0,90.0,75.0,0.0,15.0,45.0,15.0
Trey McBride,104.4,1053.1,5.8,0.5,139.4,16.0,7.0,72.0,40.0,56.0,32.0,10.0,0.0,9.0,7.0,0.0,1.0,3.0,1.0,112.0,1152.0,640.0,896.0,512.0,160.0,0.0,144.0,112.0,0.0,16.0,48.0,16.0
Mark Andrews,59.9,721.0,7.8,0.8,117.3,17.0,3.0,40.0,29.0,43.0,11.0,5.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,51.0,680.0,493.0,731.0,187.0,85.0,0.0,68.0,51.0,0.0,17.0,34.0,0.0
Sam LaPorta,67.9,763.8,6.7,0.4,115.6,16.0,4.0,45.0,24.0,36.0,21.0,7.0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,64.0,720.0,384.0,576.0,336.0,112.0,0.0,80.0,64.0,0.0,16.0,32.0,16.0
T.J. Hockenson,76.3,800.3,4.6,0.5,106.9,10.0,4.0,46.0,31.0,52.0,15.0,4.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,40.0,460.0,310.0,520.0,150.0,40.0,0.0,60.0,40.0,0.0,10.0,20.0,10.0
Travis Kelce,80.8,767.3,5.3,0.9,106.7,16.0,6.0,51.0,30.0,54.0,21.0,6.0,0.0,8.0,6.0,0.0,2.0,2.0,1.0,96.0,816.0,480.0,864.0,336.0,96.0,0.0,128.0,96.0,0.0,32.0,32.0,16.0
David Njoku,76.5,731.1,4.8,0.8,100.4,11.0,6.0,46.0,23.0,47.0,23.0,6.0,0.0,9.0,6.0,1.0,1.0,2.0,0.0,66.0,506.0,253.0,517.0,253.0,66.0,0.0,99.0,66.0,11.0,11.0,22.0,0.0
Tucker Kraft,55.2,652.8,4.8,0.8,92.5,17.0,3.0,42.0,15.0,22.0,27.0,12.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,51.0,714.0,255.0,374.0,459.0,204.0,17.0,68.0,51.0,0.0,17.0,34.0,17.0
Tyler Warren,58.1,648.2,4.3,1.1,88.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
