Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Ja'Marr Chase,120.7,1577.4,12.2,1.6,12.7,0.0,0.6,231.2,17.0,7.0,100.0,54.0,90.0,46.0,17.0,1.0,10.0,8.0,1.0,2.0,4.0,1.0,119.0,1700.0,918.0,1530.0,782.0,289.0,17.0,170.0,136.0,17.0,34.0,68.0,17.0
Justin Jefferson,106.4,1480.9,9.8,0.5,2.2,0.0,0.6,205.6,17.0,6.0,90.0,62.0,98.0,29.0,7.0,0.0,9.0,6.0,0.0,1.0,3.0,2.0,102.0,1530.0,1054.0,1666.0,493.0,119.0,0.0,153.0,102.0,0.0,17.0,51.0,34.0
CeeDee Lamb,111.5,1393.7,8.0,9.2,59.4,0.3,1.0,193.2,15.0,7.0,80.0,44.0,77.0,36.0,17.0,1.0,10.0,7.0,0.0,1.0,3.0,1.0,105.0,1200.0,660.0,1155.0,540.0,255.0,15.0,150.0,105.0,0.0,15.0,45.0,15.0
Puka Nacua,104.9,1363.9,7.0,10.7,61.4,0.6,0.6,186.7,11.0,7.0,90.0,43.0,76.0,47.0,16.0,1.0,10.0,7.0,0.0,1.0,4.0,1.0,77.0,990.0,473.0,836.0,517.0,176.0,11.0,110.0,77.0,0.0,11.0,44.0,11.0
Nico Collins,92.0,1313.4,8.8,0.0,1.6,0.0,0.5,183.5,12.0,6.0,84.0,53.0,89.0,30.0,10.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,72.0,1008.0,636.0,1068.0,360.0,120.0,0.0,96.0,72.0,0.0,12.0,36.0,12.0
Malik Nabers,106.8,1339.9,8.2,2.6,12.2,0.0,0.6,183.5,15.0,7.0,80.0,49.0,103.0,31.0,14.0,1.0,11.0,8.0,1.0,1.0,3.0,1.0,105.0,1200.0,735.0,1545.0,465.0,210.0,15.0,165.0,120.0,15.0,15.0,45.0,15.0
Brian Thomas Jr.,91.8,1292.7,8.6,3.8,25.1,0.0,0.6,182.1,17.0,5.0,75.0,42.0,89.0,33.0,11.0,0.0,8.0,6.0,0.0,1.0,2.0,1.0,85.0,1275.0,714.0,1513.0,561.0,187.0,0.0,136.0,102.0,0.0,17.0,34.0,17.0
Amon-Ra St. Brown,110.4,1267.5,8.9,1.9,12.6,0.1,0.9,179.6,17.0,7.0,74.0,50.0,65.0,24.0,8.0,0.0,8.0,7.0,0.0,2.0,3.0,1.0,119.0,1258.0,850.0,1105.0,408.0,136.0,0.0,136.0,119.0,0.0,34.0,51.0,17.0
A.J. Brown,84.8,1244.5,8.4,0.0,0.0,0.0,0.9,172.8,13.0,5.0,83.0,56.0,91.0,27.0,11.0,1.0,7.0,5.0,0.0,1.0,4.0,1.0,65.0,1079.0,728.0,1183.0,351.0,143.0,13.0,91.0,65.0,0.0,13.0,52.0,13.0
Drake London,95.6,1218.6,8.2,0.3,2.0,0.0,0.6,169.9,17.0,6.0,75.0,56.0,103.0,19.0,9.0,0.0,9.0,6.0,0.0,1.0,4.0,1.0,102.0,1275.0,952.0,1751.0,323.0,153.0,0.0,153.0,102.0,0.0,17.0,68.0,17.0
