Player,Team (Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Saquon Barkley,PHI (9),1,3,1.0,1.0,3.0,1.7,327.8,1661.5,10.8,41.9,318.2,2.2,1.4,273.1
Bijan Robinson,ATL (5),2,2,2.0,2.0,1.0,1.7,304.4,1420.0,11.4,56.9,427.9,2.1,1.4,263.2
Jahmyr Gibbs,DET (8),3,4,3.0,3.0,2.0,2.7,239.9,1239.5,11.7,57.7,508.8,2.8,1.3,258.9
Derrick Henry,BAL (7),4,12,4.0,4.0,7.0,5.0,295.2,1508.5,13.3,16.4,153.1,0.9,1.4,248.4
Christian McCaffrey,SF (14),5,11,6.0,6.0,4.0,5.3,233.2,1062.6,7.9,65.1,570.1,3.6,1.8,228.4
Ashton Jeanty,LV (8),6,10,7.0,5.0,5.0,5.7,273.0,1204.0,9.0,46.3,366.3,1.9,2.4,217.4
De'Von Achane,MIA (12),7,15,8.0,7.0,6.0,7.0,223.3,1032.9,7.8,69.5,513.7,4.1,1.3,223.1
Josh Jacobs,GB (5),8,18,5.0,9.0,8.0,7.3,284.2,1211.8,11.3,38.1,316.0,1.5,1.5,226.1
Bucky Irving,TB (9),9,17,11.0,8.0,10.0,9.7,234.7,1110.7,8.3,44.4,343.3,1.7,1.4,202.5
Jonathan Taylor,IND (11),10,21,10.0,10.0,11.0,10.3,297.7,1359.2,9.6,25.7,194.4,1.1,1.6,216.5
Kyren Williams,LAR (8),11,26,9.0,11.0,12.0,10.7,275.7,1192.4,11.2,33.7,213.8,1.7,2.3,213.0
Chase Brown,CIN (10),12,22,13.0,12.0,9.0,11.3,234.6,984.0,7.8,54.0,377.5,2.7,1.4,196.3
Breece Hall,NYJ (9),13,29,15.0,13.0,13.0,13.7,224.5,1000.0,5.9,46.7,383.8,2.1,1.9,182.6
James Cook,BUF (7),14,34,12.0,14.0,16.0,14.0,222.0,1049.7,9.5,31.4,258.5,1.9,1.4,196.1
Alvin Kamara,NO (11),15,37,14.0,16.0,15.0,15.0,215.5,903.5,5.1,63.0,475.6,2.0,1.3,178.0
