Player,Team (Bye),TE,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Brock Bowers,LV (8),1,16,1.0,1,1.0,1.0,106.0,1131.5,6.1,0.5,149.7
Trey McBride,ARI (8),2,27,3.0,2,2.0,2.3,104.4,1053.3,5.8,0.5,139.4
George Kittle,SF (14),3,39,2.0,3,3.0,2.7,76.1,1037.1,7.5,0.5,147.6
Sam LaPorta,DET (8),4,54,4.0,4,4.0,4.0,67.9,763.9,6.7,0.4,115.6
Travis Kelce,KC (10),5,72,6.0,6,5.0,5.7,81.0,769.0,5.3,0.9,106.9
T.J. Hockenson,MIN (6),6,66,7.0,5,6.0,6.0,76.3,799.2,4.6,0.5,106.6
Mark Andrews,BAL (7),7,84,5.0,7,8.0,6.7,59.9,721.0,7.8,0.8,117.3
Evan Engram,DEN (12),8,88,11.0,9,7.0,9.0,69.1,614.2,4.0,0.9,83.4
David Njoku,CLE (9),9,100,9.0,10,10.0,9.7,76.5,731.5,4.8,0.8,100.4
Tyler Warren,IND (11),10,106,12.0,11,11.0,11.3,57.9,647.5,4.3,1.1,88.6
Jonnu Smith,PIT (5),11,114,16.0,8,15.0,13.0,52.2,544.5,4.0,0.9,76.7
Tucker Kraft,GB (5),12,118,14.0,13,12.0,13.0,55.2,652.9,4.8,0.8,92.5
Dallas Goedert,PHI (9),13,139,10.0,16,17.0,14.3,57.2,633.4,3.9,0.5,85.8
Jake Ferguson,DAL (10),14,122,15.0,15,13.0,14.3,67.8,622.2,3.8,1.2,82.6
Colston Loveland,CHI (5),15,112,21.0,14,9.0,14.7,52.8,554.1,3.8,0.8,76.5
Dalton Kincaid,BUF (7),16,128,20.0,12,16.0,16.0,57.1,603.2,4.0,0.5,83.6
Kyle Pitts Sr.,ATL (5),17,138,17.0,17,14.0,16.0,47.8,602.0,3.8,0.1,83.1
Zach Ertz,WAS (12),18,156,13.0,20,19.0,17.3,58.1,539.5,5.1,0.1,84.2
Hunter Henry,NE (14),19,152,23.0,19,18.0,20.0,55.0,572.4,3.6,0.4,78.3
Isaiah Likely,BAL (7),20,168,19.0,18,23.0,20.0,41.4,495.5,4.8,0.7,77.0
Brenton Strange,JAC (8),21,169,24.0,24,20.0,22.7,55.3,548.8,3.3,0.5,73.6
Pat Freiermuth,PIT (5),22,192,22.0,21,29.0,24.0,51.2,493.6,3.5,0.9,68.7
Darren Waller,MIA (12),23,220,18.0,33,27.0,26.0,52.6,579.4,3.4,0.1,77.9
Taysom Hill,NO (11),24,301,8.0,38,,23.0,12.3,104.7,0.7,0.3,24.8
Cade Otton,TB (9),25,174,,25,21.0,23.0,52.3,532.3,4.0,0.5,76.0
Mason Taylor,NYJ (9),26,177,,23,24.0,23.5,44.5,449.6,2.6,0.5,59.4
Mike Gesicki,CIN (10),27,194,,22,28.0,25.0,52.8,518.3,3.6,0.4,72.7
Chig Okonkwo,TEN (10),28,193,,28,22.0,25.0,53.8,537.2,2.9,0.8,69.9
Dalton Schultz,HOU (6),29,200,,26,26.0,26.0,49.9,510.2,3.1,0.4,68.9
Elijah Arroyo,SEA (8),30,215,,34,25.0,29.5,41.1,436.0,2.9,0.4,60.1
Ja'Tavion Sanders,CAR (14),31,219,,29,30.0,29.5,38.5,388.4,2.1,0.1,51.1
Cole Kmet,CHI (5),32,228,,30,31.0,30.5,30.0,288.7,2.3,0.4,41.7
Terrance Ferguson,LAR (8),33,235,,27,35.0,31.0,23.0,235.5,1.9,0.4,34.1
Juwan Johnson,NO (11),34,237,,32,33.0,32.5,48.9,501.0,3.3,0.2,69.5
Theo Johnson,NYG (14),35,252,,31,36.0,33.5,43.1,470.1,2.7,0.1,63.0
Tyler Conklin,LAC (12),36,264,,37,32.0,34.5,36.4,352.8,2.5,0.1,49.9
Harold Fannin Jr.,CLE (9),37,278,,35,38.0,36.5,23.7,234.3,1.2,0.4,30.0
Noah Gray,KC (10),38,279,,36,37.0,36.5,28.2,286.0,2.6,0.0,44.0
Tyler Higbee,LAR (8),39,295,,42,34.0,38.0,45.3,425.3,3.7,0.1,64.4
Noah Fant,CIN (10),40,304,,39,40.0,39.5,36.2,370.6,2.4,0.1,51.6
Oronde Gadsden II,LAC (12),41,309,,40,39.0,39.5,16.5,168.9,1.4,0.0,25.1
Ben Sinnott,WAS (12),42,310,,41,,41.0,17.9,177.0,1.5,0.1,26.4
