Player,Team (Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Ja'Marr Chase,CIN (10),1,1,1.0,1.0,1.0,1.0,120.7,1577.7,12.2,1.6,12.7,0.0,0.6,231.2
Justin Jefferson,MIN (6),2,5,2.0,2.0,3.0,2.3,106.4,1478.9,9.7,0.5,2.2,0.0,0.6,205.1
CeeDee Lamb,DAL (10),3,6,3.0,3.0,2.0,2.7,111.7,1394.4,8.0,9.2,59.4,0.3,1.0,193.3
Malik Nabers,NYG (14),4,8,5.0,6.0,4.0,5.0,106.6,1338.5,8.2,2.6,12.2,0.0,0.6,183.3
Puka Nacua,LAR (8),5,7,8.0,4.0,5.0,5.7,105.7,1374.2,7.0,10.7,61.4,0.6,0.6,187.7
Amon-Ra St. Brown,DET (8),6,9,6.0,5.0,6.0,5.7,110.4,1267.7,9.1,1.9,12.6,0.1,0.9,180.9
Nico Collins,HOU (6),7,13,4.0,7.0,8.0,6.3,92.0,1313.4,8.9,0.0,1.6,0.0,0.5,183.5
Brian Thomas Jr.,JAC (8),8,14,7.0,8.0,7.0,7.3,91.8,1292.7,8.6,3.8,25.1,0.0,0.6,182.1
Drake London,ATL (5),9,19,10.0,9.0,9.0,9.3,95.5,1217.7,8.2,0.3,2.0,0.0,0.6,169.8
A.J. Brown,PHI (9),10,20,9.0,10.0,10.0,9.7,84.8,1244.7,8.4,0.0,0.0,0.0,0.9,172.8
Ladd McConkey,LAC (12),11,25,14.0,11.0,12.0,12.3,90.5,1210.9,7.4,0.0,1.4,0.0,0.7,164.0
Tyreek Hill,MIA (12),12,28,15.0,13.0,11.0,13.0,94.2,1184.3,7.7,7.2,40.3,0.1,0.6,168.4
Tee Higgins,CIN (10),13,32,11.0,14.0,14.0,13.0,86.6,1093.9,8.9,0.0,0.0,0.0,0.9,161.1
